2026-09-11T00:45:11Z PREFLIGHT runner probe (not agent traffic)
2026-09-11T00:45:11.728Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:18.792Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:18.792Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.087Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.552Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.579Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.594Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.595Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.618Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.680Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.716Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:19.765Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:26.846Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.849Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.860Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.912Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.949Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.951Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.952Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.982Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.983Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:26.985Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.014Z DENY HTTP HEAD http://get.ecmwf.int/test-data/earthkit-data/examples/test.grib
2026-09-11T00:45:27.016Z DENY HTTP HEAD http://get.ecmwf.int/test-data/earthkit-data/examples/test6.grib
2026-09-11T00:45:27.018Z DENY HTTP GET http://get.ecmwf.int/test-data/earthkit-data/examples/test.grib
2026-09-11T00:45:27.047Z DENY HTTP HEAD http://get.ecmwf.int/test-data/earthkit-data/examples/test.grib
2026-09-11T00:45:27.049Z DENY HTTP HEAD http://get.ecmwf.int/test-data/earthkit-data/examples/test6.grib
2026-09-11T00:45:27.051Z DENY HTTP GET http://get.ecmwf.int/test-data/earthkit-data/examples/test.grib
2026-09-11T00:45:27.082Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.084Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.086Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.114Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.116Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.117Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.119Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.121Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.158Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.160Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.162Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:45:27.192Z DENY HTTP HEAD http://httpbin.org/status/200,502
2026-09-11T00:45:27.193Z DENY HTTP HEAD http://httpbin.org/status/200,502
2026-09-11T00:45:27.195Z DENY HTTP GET http://httpbin.org/status/200,502
2026-09-11T00:45:27.223Z DENY HTTP GET http://httpbin.org/status/500,502,503,504,429,408
2026-09-11T00:45:27.228Z DENY HTTP GET http://httpbin.org/status/500,502,503,504,429,408
2026-09-11T00:45:27.233Z DENY HTTP GET http://httpbin.org/status/500,502,503,504,429,408
2026-09-11T00:45:34.479Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-11T00:45:49.810Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:45:54.932Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-11T00:46:17.073Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-11T00:46:32.062Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:46:33.707Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-11T00:46:40.621Z ALLOW CONNECT api.anthropic.com:443
2026-09-11T00:46:40.621Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-11T00:46:41.158Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.160Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.170Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.229Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.257Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.259Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.261Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.289Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.291Z DENY HTTP HEAD http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
2026-09-11T00:46:41.293Z DENY HTTP GET http://get.ecmwf.int/test-data/metview/gallery/temp.bufr
